Section Header,Field Name,Data Input / Source,B2B Marketing / Activation Use
1. CORE IDENTIFICATION,Segment Name,3D Printers,Primary label for all marketing materials.
1. CORE IDENTIFICATION,Segment ID,PIA_3070,Internal reference and platform mapping.
1. CORE IDENTIFICATION,Total Audience Size,"19,973,492",Establishing market scale and opportunity for media buyers.
1. CORE IDENTIFICATION,Core Definition,[Brief description of the audience's primary product affinity.],The one-sentence summary for sales decks and spec sheets.
1. CORE IDENTIFICATION,Calculated Index,"[If available, provide an index score vs. general population (e.g., 185 vs. US Pop).]",Highlights data advantage and targeting efficiency.
2. THE OVERLAP STORY,Top Overlap 1: Name & %,Oral Care (24%),[What strategic implication does this overlap suggest?]
2. THE OVERLAP STORY,Top Overlap 2: Name & %,Outerwear (23%),[What strategic implication does this overlap suggest?]
2. THE OVERLAP STORY,Top Overlap 3: Name & %,Pet Supplies (20%),[What strategic implication does this overlap suggest?]
2. THE OVERLAP STORY,Top Overlap 4: Name & %,Sofas (19%),[What strategic implication does this overlap suggest?]
2. THE OVERLAP STORY,Top Overlap 5: Name & %,Water (19%),[What strategic implication does this overlap suggest?]
3. PERSONA MINDSET,Persona Name,"[e.g., The Technologically-Minded Investor]","High-level, memorable name for sales materials and LinkedIn posts."
3. PERSONA MINDSET,Core Archetype,"[e.g., Optimizer, Planner, Affluent Professional]",Defines their behavior and motivation.
3. PERSONA MINDSET,Persona Mantra,[A one-sentence quote capturing their core attitude.],Used for inspiring creative concepts and sales hooks.
3. PERSONA MINDSET,"The ""Why""","[The single biggest underlying reason they buy, e.g., Status, Family Security, Efficiency, Performance.]",Helps marketers and advertisers understand the consumer's deep motivation.
4. ACTIVATION GUIDANCE,High-Value Creative Hook,"[The most effective angle for creative, e.g., Data, Results, Status, Family Comfort.]",Guidance for programmatic creative buyers.
4. ACTIVATION GUIDANCE,Platform/Context Alignment,"[Where should ads be placed based on overlaps? e.g., Business News, Tech Review Sites.]",Directs media teams on contextual and PMP strategies.
4. ACTIVATION GUIDANCE,B2B Value Proposition,"[The ""Why Buy This Audience"" statement for media sellers, e.g., Reach affluent professionals with high propensity for tech upgrades.]","Used in all B2B marketing content, ad copy, and sales outreach."
4. ACTIVATION GUIDANCE,Exclusion List Suggestion,[Which low-overlap or irrelevant audiences should be excluded to maximize efficiency?],Ensures budgets are not wasted on poor matches.
,,,
1. CORE IDENTIFICATION,Segment Name,Activewear,Primary label for all marketing materials.
1. CORE IDENTIFICATION,Segment ID,PIA_2143,Internal reference and platform mapping.
1. CORE IDENTIFICATION,Total Audience Size,"9,983,591",Establishing market scale and opportunity for media buyers.
1. CORE IDENTIFICATION,Core Definition,[Brief description of the audience's primary product affinity.],The one-sentence summary for sales decks and spec sheets.
1. CORE IDENTIFICATION,Calculated Index,"[If available, provide an index score vs. general population (e.g., 185 vs. US Pop).]",Highlights data advantage and targeting efficiency.
2. THE OVERLAP STORY,Top Overlap 1: Name & %,Outerwear (66%),[What strategic implication does this overlap suggest?]
2. THE OVERLAP STORY,Top Overlap 2: Name & %,3D Printers (55%),[What strategic implication does this overlap suggest?]
2. THE OVERLAP STORY,Top Overlap 3: Name & %,Cabinets & Storage (54%),[What strategic implication does this overlap suggest?]
2. THE OVERLAP STORY,Top Overlap 4: Name & %,Shorts (53%),[What strategic implication does this overlap suggest?]
