Segment Type,Sovrn Segment ID,Sovrn Parent Segment ID,Segment Name,Segment Description,Tier Number,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6,Full Path,CPM,% Media Cost,Actively Generated,"7 Day Sovrn Cookie Scale, Global","7 Day Sovrn Cookie Scale, US","7 Day HEM Scale, US","1 Day Average IP Scale, Rolling 7 Days, Global"
Commerce Audience,PIA_2001,PIA_2000,Animals and Pet Supplies,Shoppers actively browsing or buying pet-related products for a household animal.,2,Purchase Intent,Animals and Pet Supplies,,,,,Purchase Intent > Animals and Pet Supplies,$0.85 ,0.1,Yes,,,,"8,123,981"
Commerce Audience,PIA_2002,PIA_2000,Apparel and Accessories,Fashion-conscious shoppers exploring wearable items and complementary accessories.,2,Purchase Intent,Apparel and Accessories,,,,,Purchase Intent > Apparel and Accessories,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2003,PIA_2000,Arts and Entertainment,"Users engaged in cultural or entertainment-related shopping, from books to shows.",2,Purchase Intent,Arts and Entertainment,,,,,Purchase Intent > Arts and Entertainment,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_2004,PIA_2000,Baby and Toddler,Shoppers preparing for or parenting young children through essential baby gear.,2,Purchase Intent,Baby and Toddler,,,,,Purchase Intent > Baby and Toddler,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_2005,PIA_2000,Business and Industrial,"Professionals or buyers sourcing tools, machinery, or bulk goods for commercial use.",2,Purchase Intent,Business and Industrial,,,,,Purchase Intent > Business and Industrial,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_2006,PIA_2005,Cameras and Optics,"Photography enthusiasts and content creators shopping for cameras, lenses, or optical gear.",2,Purchase Intent,Cameras and Optics,,,,,Purchase Intent > Cameras and Optics,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_2007,PIA_2000,Electronics,"Tech-focused consumers browsing for the latest gadgets, devices, or upgrades.",2,Purchase Intent,Electronics,,,,,Purchase Intent > Electronics,$0.85 ,0.1,Yes,,,,"19,892,850"
Commerce Audience,PIA_2008,PIA_2000,Food and Beverages,Grocery-minded consumers shopping across food and drink categories.,2,Purchase Intent,Food and Beverages ,,,,,Purchase Intent > Food and Beverages ,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_2009,PIA_2000,Furniture,"Shoppers updating or furnishing homes with seating, tables, or decor essentials.",2,Purchase Intent,Furniture,,,,,Purchase Intent > Furniture,$0.85 ,0.1,Yes,,,,"8,729,863"
Commerce Audience,PIA_2010,PIA_2000,Hardware,"DIYers or professionals browsing tools, fasteners, or construction gear.",2,Purchase Intent,Hardware,,,,,Purchase Intent > Hardware,$0.85 ,0.1,Yes,,,,"7,246,230"
Commerce Audience,PIA_2011,PIA_2000,Health and Beauty,"Wellness-focused shoppers browsing personal care, supplements, or hygiene products.",2,Purchase Intent,Health and Beauty,,,,,Purchase Intent > Health and Beauty,$0.85 ,0.1,Yes,,,,"9,441,079"
Commerce Audience,PIA_2012,PIA_2000,Home and Garden,"Homeowners or renters purchasing for decor, maintenance, or outdoor use.",2,Purchase Intent,Home and Garden,,,,,Purchase Intent > Home and Garden,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_2013,PIA_2000,Luggage and Bags,"Travelers or commuters seeking suitcases, backpacks, or carry-ons.",2,Purchase Intent,Luggage and Bags,,,,,Purchase Intent > Luggage and Bags,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_2015,PIA_2000,Media,"Consumers shopping for physical or digital content such as books, movies, or streaming.",2,Purchase Intent,Media,,,,,Purchase Intent > Media,$0.85 ,0.1,Yes,,,,"15,442,896"
Commerce Audience,PIA_2016,PIA_2000,Office Supplies,"Home or corporate office shoppers buying paper, pens, and productivity tools.",2,Purchase Intent,Office Supplies,,,,,Purchase Intent > Office Supplies,$0.85 ,0.1,Yes,,,,"13,467,423"
